resumeScore,interviewScore,skillsMatch,experienceYears,educationLevel,hired
92,88,90,5,Master,1
85,82,78,3,Bachelor,1
78,75,85,4,Master,1
95,92,95,7,PhD,1
60,55,50,1,Bachelor,0
45,40,35,0,High School,0
88,90,82,6,Master,1
72,68,60,2,Bachelor,0
90,85,88,5,Bachelor,1
55,50,45,1,Associate,0
82,78,80,4,Bachelor,1
65,60,55,2,Associate,0
93,90,92,8,PhD,1
70,65,58,2,Bachelor,0
87,84,86,5,Master,1
48,42,38,0,High School,0
91,88,90,6,Master,1
58,52,48,1,Bachelor,0
84,80,82,4,Bachelor,1
42,38,30,0,High School,0
96,94,96,10,PhD,1
75,70,65,3,Bachelor,1
89,86,84,5,Master,1
50,45,40,1,Associate,0
80,76,78,3,Bachelor,1
38,35,28,0,High School,0
94,91,93,7,PhD,1
62,58,52,2,Bachelor,0
86,83,85,4,Master,1
52,48,42,1,Associate,0
97,95,97,12,PhD,1
77,72,70,3,Bachelor,1
90,87,88,6,Master,1
44,40,36,0,High School,0
83,79,81,4,Bachelor,1
56,50,44,1,Bachelor,0
95,93,94,8,PhD,1
68,62,56,2,Associate,0
88,85,87,5,Master,1
40,36,32,0,High School,0
81,77,79,3,Bachelor,1
63,58,53,2,Bachelor,0
92,89,91,7,Master,1
46,42,37,0,Associate,0
87,83,85,5,Bachelor,1
54,50,46,1,Bachelor,0
93,90,92,6,PhD,1
66,61,55,2,Bachelor,0
85,81,83,4,Master,1
41,37,33,0,High School,0
98,96,98,15,PhD,1
76,71,68,3,Bachelor,1
91,87,89,6,Master,1
49,44,39,1,Associate,0
82,78,80,4,Bachelor,1
57,53,47,1,Bachelor,0
94,92,93,9,PhD,1
64,59,54,2,Bachelor,0
89,85,87,5,Master,1
43,39,34,0,High School,0
79,74,76,3,Bachelor,1
61,56,50,2,Associate,0
96,93,95,8,PhD,1
47,43,38,0,Associate,0
86,82,84,4,Master,1
53,49,43,1,Bachelor,0
91,88,90,7,Master,1
67,62,57,2,Bachelor,0
84,80,82,4,Bachelor,1
39,35,30,0,High School,0
73,68,63,2,Bachelor,0
88,84,86,5,Master,1
51,47,41,1,Associate,0
80,75,77,3,Bachelor,1
59,54,49,1,Bachelor,0
93,91,92,8,PhD,1
69,64,58,2,Bachelor,0
87,83,85,5,Bachelor,1
45,41,36,0,High School,0
81,76,78,3,Bachelor,1
55,50,44,1,Bachelor,0
95,92,94,9,PhD,1
71,66,60,2,Bachelor,0
89,86,88,6,Master,1
48,43,37,0,Associate,0
83,79,81,4,Master,1
60,55,49,1,Bachelor,0
92,89,91,7,PhD,1
44,40,35,0,High School,0
86,82,84,5,Bachelor,1
57,52,46,1,Bachelor,0
90,87,89,6,Master,1
50,46,40,1,Associate,0
78,73,75,3,Bachelor,1
